id,x0,x1,x2,x3,x4,x5,x6,id.1,y,x0.1,x1.1,x2.1,x3.1,x4.1,x5.1
74,4,3,3,2,4,5,54,74,11,16,3,3,1,2,0
75,4,3,3,2,3,5,6,75,10,15,4,3,1,2,0
76,3,4,3,1,1,1,8,76,10,15,4,0,2,4,0
77,5,2,3,1,3,3,0,77,11,16,2,2,1,4,0
78,4,5,1,1,1,3,2,78,10,17,2,1,2,1,3
79,2,4,3,1,2,3,12,79,5,16,3,4,1,2,0
80,3,2,2,1,3,3,2,80,12,15,2,3,1,1,0
81,5,3,2,1,2,5,4,81,11,15,2,3,1,3,0
82,4,4,4,1,1,5,10,82,6,15,3,2,1,2,0
83,5,3,3,1,3,4,4,83,15,15,2,2,2,2,0
84,4,3,2,2,3,4,2,84,10,15,1,1,1,2,0
85,4,4,4,2,3,5,6,85,8,15,4,4,2,2,2
86,4,3,4,1,2,2,4,86,6,16,2,2,1,2,0
87,5,3,3,1,3,1,4,87,14,15,4,2,1,3,0
88,4,4,2,1,1,3,12,88,10,16,2,2,2,2,1
89,4,1,3,3,5,5,18,89,7,16,4,4,1,2,0
90,4,3,3,1,3,4,0,90,8,16,3,3,1,3,0
91,4,5,5,1,3,1,4,91,18,15,4,3,1,1,0
92,3,3,3,2,3,2,4,92,6,16,3,1,1,2,0
93,5,3,3,1,1,1,0,93,10,16,4,2,2,2,0
94,4,3,4,1,1,4,6,94,14,15,2,2,1,4,0
95,3,1,2,1,1,1,2,95,10,15,1,1,2,4,1
96,3,3,3,1,1,4,2,96,15,16,4,3,2,1,0
97,4,3,5,1,1,5,2,97,10,16,2,1,1,2,0
98,5,3,4,1,2,1,6,98,14,16,4,4,1,1,0
99,5,3,5,1,1,3,0,99,8,16,4,3,1,3,0
100,4,5,5,5,5,4,14,100,5,16,4,4,1,1,0
101,4,4,3,1,1,4,0,101,17,16,4,4,1,3,0
102,5,3,3,1,1,5,4,102,14,15,4,4,1,1,0
103,4,3,5,1,1,2,26,103,6,15,3,2,2,2,0
104,5,4,4,1,1,1,0,104,18,15,3,4,1,2,0
105,4,3,3,1,1,4,10,105,11,15,3,3,1,4,0
106,5,1,2,1,1,3,8,106,8,15,2,2,1,4,0
107,5,3,3,1,1,5,2,107,18,16,3,3,1,3,0
108,1,3,5,3,5,1,6,108,13,15,4,4,4,4,0
109,5,4,5,1,1,4,4,109,16,16,4,4,1,3,0
110,5,5,3,1,1,4,6,110,19,15,4,4,1,1,0
111,4,1,2,1,1,2,0,111,10,16,3,3,1,3,1
112,3,1,2,1,1,5,6,112,13,16,2,2,1,2,1
113,3,5,2,1,1,3,10,113,19,15,4,2,1,1,0
114,5,4,2,1,1,5,8,114,9,15,2,1,1,2,0
115,5,4,4,1,2,5,2,115,16,16,4,4,1,2,0
116,4,4,3,1,1,2,2,116,14,15,4,4,2,2,0
117,5,4,2,1,1,5,0,117,13,16,3,3,2,1,0
118,5,2,4,1,4,5,20,118,8,17,1,3,3,2,1
119,3,4,3,1,2,4,6,119,13,15,3,4,1,1,0
120,3,2,3,1,2,1,2,120,15,15,1,2,1,2,0
121,5,5,4,1,2,5,6,121,15,15,2,2,1,4,0
122,4,2,2,1,2,5,2,122,13,16,2,4,2,2,0
123,3,4,4,1,4,5,18,123,13,16,4,4,1,1,0
124,5,4,4,1,1,5,0,124,8,16,2,2,1,2,0
125,5,5,5,3,2,5,0,125,12,15,3,4,1,1,0
126,5,3,2,1,1,1,0,126,11,15,3,4,1,2,0
127,3,4,2,1,1,5,2,127,9,19,0,1,1,2,3
128,3,3,3,1,2,4,0,128,0,18,2,2,1,1,2
129,3,5,5,2,5,4,8,129,18,16,4,4,1,1,0
130,4,2,2,2,2,5,0,130,0,15,3,4,2,3,2
131,4,3,3,1,2,4,0,131,0,15,1,1,3,1,0
132,3,4,4,1,3,5,12,132,12,17,2,2,1,1,0
133,3,2,1,1,4,5,16,133,11,16,3,4,1,1,0
134,5,3,3,1,1,5,0,134,0,15,3,4,4,2,0
135,4,3,3,1,1,5,0,135,0,15,4,4,1,3,0
136,5,4,5,2,4,5,0,136,0,17,3,4,3,2,0
137,4,3,2,1,1,5,0,137,0,16,3,3,2,1,2
138,4,4,4,1,3,5,0,138,12,16,1,1,1,2,1
139,4,3,2,1,1,5,0,139,15,15,4,4,2,1,0
140,2,2,2,1,1,3,0,140,0,15,4,3,2,4,0
141,2,3,3,2,2,2,8,141,9,16,2,2,2,1,2
142,4,2,2,1,1,5,2,142,11,15,4,4,1,3,0
143,3,4,4,3,3,1,2,143,13,16,1,1,1,1,0
144,5,4,5,1,2,5,0,144,0,17,2,1,1,1,3
145,4,4,2,1,2,5,0,145,11,15,1,1,1,2,0
146,3,3,2,1,1,3,0,146,0,15,3,2,1,2,3
147,4,3,2,1,1,5,2,147,11,15,1,2,1,2,0
148,3,3,2,2,1,5,0,148,0,16,4,4,1,1,0
149,4,5,5,2,5,5,0,149,10,15,2,1,4,1,3
150,2,3,5,2,5,4,0,150,0,18,1,1,1,1,3
151,4,4,4,3,5,5,6,151,14,16,2,1,1,1,1
152,4,2,1,2,3,3,8,152,10,15,3,3,2,3,2
153,4,5,4,1,1,4,0,153,0,19,3,2,1,1,3
154,4,2,1,1,1,4,0,154,12,17,4,4,1,1,0
155,4,4,4,1,1,1,2,155,8,15,2,3,1,2,0
156,2,2,2,3,3,5,8,156,13,17,1,2,1,1,0
157,5,2,5,1,5,4,6,157,10,18,1,1,3,1,3
158,4,2,2,1,2,3,2,158,15,16,2,2,3,1,0
159,4,5,5,4,4,5,4,159,12,16,3,3,1,2,1
160,3,3,2,2,2,5,0,160,0,17,2,1,2,1,2
161,4,4,4,1,4,3,6,161,7,15,3,2,2,2,2
162,4,4,4,2,4,5,0,162,0,16,1,2,2,1,1
163,5,3,3,1,4,2,2,163,10,17,1,3,1,1,0
164,5,3,5,1,5,5,0,164,7,17,1,1,4,2,3
165,4,5,2,1,1,2,16,165,12,16,3,2,2,1,1
166,4,3,5,2,4,4,4,166,10,16,2,2,1,2,0
167,4,2,3,1,1,3,0,167,16,16,4,2,1,2,0
168,5,1,5,1,1,4,0,168,0,16,2,2,1,2,0
169,4,4,2,1,1,3,0,169,14,16,4,4,1,2,0
170,3,4,5,2,4,2,0,170,0,16,3,4,3,1,2
171,4,3,2,1,1,3,2,171,16,16,1,0,2,2,0
172,4,4,4,1,3,5,0,172,10,17,4,4,1,2,0
173,4,3,5,1,1,3,0,173,0,16,1,3,1,2,3
174,4,4,5,1,1,4,4,174,9,16,3,3,2,2,0
175,4,4,4,4,4,4,4,175,9,17,4,3,2,2,0
176,3,4,4,1,4,5,2,176,11,16,2,2,2,2,0
177,4,3,4,1,4,4,4,177,6,17,3,3,1,2,0
178,4,3,3,3,4,3,10,178,9,16,4,2,1,1,0
179,5,2,3,1,1,2,4,179,11,17,4,3,1,2,0
180,3,4,3,2,3,3,10,180,8,16,4,3,1,2,0
181,4,2,3,1,2,3,2,181,12,16,3,3,1,2,0
182,5,4,2,2,3,5,0,182,17,17,2,4,1,2,0
183,5,3,3,2,3,1,56,183,8,17,3,3,1,2,0
184,1,2,2,1,2,1,14,184,12,16,3,2,1,2,0
185,4,3,4,2,3,4,12,185,11,17,3,3,1,2,0
186,3,3,3,1,2,3,2,186,11,16,1,2,1,1,0
187,4,2,3,1,2,5,0,187,15,16,2,1,1,2,0
188,3,3,3,1,3,3,6,188,9,17,3,3,1,2,0
189,3,1,3,1,5,3,4,189,10,17,1,2,1,2,0
190,4,3,3,1,1,2,10,190,13,16,2,3,1,2,0
191,5,3,3,1,1,3,0,191,9,17,1,1,1,2,0
192,4,4,4,4,5,5,12,192,8,17,1,2,2,2,0
193,4,3,2,3,4,5,8,193,10,16,3,3,1,1,0
194,5,3,3,1,1,3,0,194,14,16,2,3,2,1,0
195,4,3,2,1,1,5,0,195,15,17,2,4,1,2,0
196,5,2,3,1,2,5,4,196,16,17,4,4,1,1,0
