id,x0,x1,x2,x3,x4,x5,x6,id.1,y,x0.1,x1.1,x2.1,x3.1,x4.1,x5.1
244,4,4,4,1,1,3,0,244,0,18,2,1,2,3,0
245,4,3,3,1,1,4,6,245,18,16,2,1,3,1,0
246,5,2,2,1,1,2,4,246,13,17,2,3,2,1,0
247,5,4,5,5,5,1,16,247,8,22,3,1,1,1,3
248,4,3,3,1,3,5,8,248,5,18,3,3,1,2,1
249,4,3,2,2,4,5,0,249,15,16,0,2,1,1,0
250,4,4,5,2,4,5,0,250,8,18,3,2,2,1,1
251,5,3,3,1,3,2,6,251,10,16,3,3,3,2,0
252,3,2,5,2,5,5,4,252,8,18,2,1,1,1,1
253,3,3,2,1,3,3,0,253,8,16,2,1,2,1,0
254,4,4,2,2,4,5,0,254,12,17,2,1,1,1,0
255,4,4,4,1,2,5,2,255,8,17,1,1,2,1,1
256,4,2,3,1,1,4,6,256,13,17,4,2,1,4,0
257,4,3,1,1,1,1,12,257,11,19,4,3,1,2,0
258,5,2,4,1,2,4,8,258,14,18,2,1,1,2,0
259,3,4,1,1,1,2,0,259,0,17,2,2,1,4,0
260,3,1,2,1,3,2,21,260,18,18,4,3,1,2,0
261,4,3,2,1,1,3,2,261,8,18,4,3,1,2,0
262,5,3,2,1,1,3,1,262,12,18,3,2,1,3,0
263,3,2,3,1,1,4,4,263,9,17,3,3,1,3,0
264,4,3,3,1,1,3,0,264,0,18,2,2,1,3,0
265,4,2,5,3,4,1,13,265,17,18,3,4,2,2,0
266,5,4,4,3,4,5,2,266,10,17,3,1,1,2,0
267,4,3,4,2,2,4,8,267,11,18,4,4,2,2,0
268,5,4,5,1,3,5,10,268,10,18,4,2,1,2,0
269,4,3,5,1,2,3,0,269,0,18,2,1,2,2,0
270,4,3,5,3,3,5,15,270,9,19,3,3,1,2,2
271,4,5,5,1,3,2,4,271,14,18,2,3,1,4,0
272,4,4,3,1,1,3,2,272,11,18,1,1,2,2,0
273,3,5,2,2,2,1,2,273,14,17,1,2,1,2,0
274,4,3,3,1,1,1,2,274,10,17,2,4,2,2,0
275,4,4,4,2,3,5,6,275,12,17,2,2,2,2,0
276,4,1,1,1,1,5,75,276,9,18,3,2,2,2,0
277,3,2,4,1,4,3,22,277,9,18,4,4,2,1,0
278,2,4,4,1,1,4,15,278,8,18,4,4,1,2,1
279,4,2,3,1,2,1,8,279,10,18,4,3,2,1,0
280,4,5,4,2,4,5,30,280,8,17,4,1,2,1,0
281,4,4,4,3,4,3,19,281,10,17,3,2,1,1,1
282,5,2,2,1,1,3,1,282,12,18,1,1,2,4,0
283,5,4,4,1,1,4,4,283,10,18,1,1,2,2,0
284,5,4,5,1,2,5,4,284,11,17,2,2,1,2,0
285,4,3,3,1,2,4,2,285,11,17,1,1,1,2,0
286,4,3,3,1,2,2,5,286,19,18,2,2,1,3,0
287,4,3,3,1,1,3,6,287,12,17,1,1,1,3,0
288,4,2,4,1,3,2,6,288,14,18,2,1,1,3,0
289,5,4,3,1,1,2,9,289,15,18,4,4,1,2,0
290,4,3,2,1,4,5,11,290,11,18,4,2,1,2,0
291,4,2,2,1,2,3,0,291,15,17,4,3,1,3,0
292,5,4,3,1,1,5,12,292,13,18,2,1,1,2,1
293,3,1,2,1,1,3,6,293,18,17,3,1,2,4,0
294,5,4,2,1,1,4,8,294,14,18,3,2,2,3,0
295,4,4,3,1,3,5,4,295,11,17,3,3,1,1,0
296,2,3,4,2,3,2,0,296,0,19,4,4,2,2,0
297,4,4,5,1,2,2,10,297,8,18,4,3,2,2,0
298,4,3,3,1,1,3,0,298,14,18,4,3,1,4,0
299,1,4,2,2,2,1,5,299,16,18,4,4,1,1,0
300,4,2,4,1,1,4,14,300,11,18,4,4,1,2,0
301,4,1,1,2,2,5,0,301,10,17,4,4,2,1,0
302,4,3,3,1,1,3,0,302,14,17,4,2,2,3,0
303,5,2,2,1,2,5,0,303,18,17,3,2,1,4,0
304,4,4,4,1,1,3,20,304,13,19,3,3,1,2,1
305,4,4,3,1,1,3,8,305,12,18,2,4,1,2,1
306,5,5,3,1,1,5,0,306,18,20,3,2,1,1,0
307,4,3,4,1,1,4,38,307,8,19,4,4,2,1,1
308,4,5,3,1,2,5,0,308,12,19,3,3,1,2,1
309,4,4,3,1,3,3,18,309,10,19,1,1,1,2,1
310,4,2,4,2,2,3,0,310,0,19,1,2,1,2,1
311,3,4,1,1,1,2,20,311,13,19,2,1,3,2,0
312,4,5,2,2,2,4,3,312,11,19,1,2,1,2,1
313,4,2,2,1,2,1,22,313,11,19,3,2,2,2,1
314,4,1,2,1,1,3,14,314,13,19,1,1,1,3,2
315,4,1,2,1,1,3,40,315,11,19,2,3,1,3,1
316,5,3,3,1,2,1,0,316,0,18,2,1,2,2,0
317,4,3,4,1,1,5,9,317,9,18,4,3,1,3,0
318,4,3,4,2,5,5,0,318,10,17,3,4,1,3,0
319,4,4,4,3,3,5,2,319,11,18,4,4,1,2,0
320,5,2,2,1,2,5,23,320,13,17,4,3,1,2,0
321,4,2,2,1,1,3,12,321,9,17,2,2,1,2,0
322,3,3,2,2,2,3,3,322,11,17,2,2,1,3,0
323,3,4,3,2,3,5,1,323,15,17,3,1,1,3,0
324,3,3,3,2,3,2,0,324,15,17,0,2,2,3,0
325,4,3,3,2,2,3,3,325,11,18,4,4,1,3,0
326,4,3,5,3,5,5,3,326,16,17,3,3,1,1,0
327,4,4,5,5,5,4,8,327,10,17,2,2,4,1,0
328,5,4,4,1,3,4,7,328,9,17,4,4,1,3,0
329,4,3,3,1,2,4,4,329,14,17,4,4,2,3,0
330,4,5,5,2,4,5,2,330,8,18,2,2,1,4,0
331,4,4,3,1,1,5,7,331,14,17,2,4,1,3,0
332,5,3,4,1,1,4,0,332,0,18,3,3,1,2,0
333,4,3,3,1,1,2,0,333,0,18,2,2,1,2,0
334,4,4,4,1,1,4,0,334,0,18,2,2,2,4,0
335,4,4,5,1,3,5,16,335,15,17,3,4,1,3,0
336,5,4,3,1,2,5,12,336,13,19,3,1,1,3,1
337,4,3,2,2,3,2,0,337,0,17,3,2,1,2,0
338,5,3,3,1,1,1,7,338,17,18,3,3,1,4,0
339,4,3,3,2,3,2,4,339,10,17,3,2,1,2,0
340,4,3,4,1,3,3,4,340,11,19,2,1,1,3,1
341,4,3,3,2,2,2,0,341,0,18,4,4,1,2,1
342,4,3,3,1,3,5,11,342,15,18,3,4,1,2,0
343,3,3,1,1,2,4,0,343,0,17,2,2,1,2,1
344,4,3,3,1,2,3,4,344,10,18,2,3,1,3,0
345,5,4,3,2,3,1,7,345,14,18,3,2,1,3,0
346,5,3,2,1,2,4,9,346,16,18,4,3,1,3,0
347,5,4,5,2,3,5,0,347,9,18,4,3,1,3,0
348,4,4,3,1,3,4,0,348,15,17,4,3,1,3,0
349,2,5,5,5,5,5,10,349,13,18,3,2,2,1,1
350,5,4,4,3,3,2,8,350,8,19,1,1,3,2,3
351,4,5,4,2,3,3,2,351,13,17,3,3,2,2,0
352,4,3,3,2,3,3,7,352,8,18,1,3,1,1,1
353,4,4,4,3,3,5,4,353,8,19,1,1,3,1,1
354,4,5,5,1,3,2,4,354,11,17,4,3,2,2,0
355,5,3,4,1,1,5,0,355,9,18,3,3,1,2,0
356,4,3,3,1,2,5,4,356,13,17,4,4,2,2,0
357,1,2,3,1,2,5,2,357,11,17,3,2,2,2,0
358,3,3,2,1,2,3,4,358,10,18,1,1,2,1,0
359,5,3,2,1,1,4,0,359,16,18,1,1,2,3,0
360,4,3,4,1,4,5,0,360,13,18,1,4,3,2,0
361,4,4,3,2,3,5,2,361,12,18,1,1,2,2,1
362,4,3,2,1,3,3,0,362,10,18,3,3,2,2,0
363,2,3,4,1,1,1,0,363,15,17,4,4,1,2,0
364,3,2,2,1,2,3,0,364,12,17,1,2,2,2,0
365,3,3,4,2,4,3,4,365,10,18,1,3,2,2,0
366,4,2,2,2,2,5,0,366,13,18,4,4,2,3,0
367,5,2,1,1,2,1,0,367,0,17,1,1,3,1,1
368,5,2,3,1,2,4,0,368,10,18,2,3,2,1,0
369,3,2,2,4,2,5,10,369,11,18,4,4,3,2,0
370,3,2,2,1,1,3,4,370,9,19,3,2,2,2,2
371,4,3,3,2,3,3,3,371,12,18,1,2,3,1,0
372,3,4,3,1,1,3,8,372,11,17,2,2,1,3,0
373,3,5,5,1,3,1,14,373,5,17,1,2,1,1,0
374,5,4,4,1,1,1,0,374,19,18,4,4,2,3,0
375,4,3,2,1,2,4,2,375,10,18,1,1,4,3,0
376,5,4,3,1,1,3,4,376,15,20,4,2,2,3,2
377,5,4,3,3,4,2,4,377,10,18,4,4,1,2,0
378,4,1,3,1,2,1,0,378,15,18,3,3,1,2,0
379,4,5,4,2,3,1,17,379,10,17,3,1,1,2,0
380,3,2,4,1,4,2,4,380,14,18,4,4,1,2,0
381,4,4,3,1,3,5,5,381,7,18,2,1,2,1,0
382,4,4,3,1,1,3,2,382,10,17,2,3,2,2,0
383,4,3,2,1,3,5,0,383,0,19,1,1,2,1,1
384,5,4,3,4,3,3,14,384,5,18,4,2,2,1,1
385,5,3,3,1,3,4,2,385,10,18,2,2,2,3,0
386,4,4,3,2,2,5,7,386,6,18,4,4,3,1,0
387,5,4,2,1,2,5,0,387,0,19,2,3,1,3,1
388,4,3,4,1,1,1,0,388,8,18,3,1,1,2,0
389,1,1,1,1,1,5,0,389,0,18,1,1,2,2,1
390,5,5,4,4,5,4,11,390,9,20,2,2,1,2,2
391,2,4,5,3,4,2,3,391,16,17,3,1,2,1,0
392,5,5,3,3,3,3,3,392,7,21,1,1,1,1,3
393,4,4,1,3,4,5,0,393,10,18,3,2,3,1,0
